Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"The Gate Tower 2, The Gate Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",124000,3,4,Apartment,1785,69.46778711484593,Medium,Yearly,Unfurnished,For Rent,2024-03-07,45,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Water's Edge, Yas Island, Abu Dhabi",140000,3,4,Apartment,1422,98.45288326300984,Medium,Yearly,Unfurnished,For Rent,2024-03-08,44,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Al Raha Lofts, Al Raha Beach, Abu Dhabi",99000,2,3,Apartment,1314,75.34246575342466,Medium,Yearly,Furnished,For Rent,2024-03-21,31,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
"Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",220000,3,4,Penthouse,3843,57.24694249284413,High,Yearly,Unfurnished,For Rent,2024-02-24,57,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"West Yas, Yas Island, Abu Dhabi",350000,5,7,Villa,6860,51.02040816326531,High,Yearly,Unfurnished,For Rent,2024-02-16,65,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",75000,1,1,Apartment,706,106.23229461756374,Medium,Yearly,Furnished,For Rent,2023-12-12,131,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Water's Edge, Yas Island, Abu Dhabi",65000,1,1,Apartment,698,93.12320916905443,Low,Yearly,Unfurnished,For Rent,2024-03-11,41,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Noya, Yas Island, Abu Dhabi",170000,3,4,Townhouse,1989,85.47008547008546,High,Yearly,Unfurnished,For Rent,2024-02-22,59,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Ansam 3, Ansam, Yas Island, Abu Dhabi",75000,1,2,Apartment,886,84.65011286681715,Medium,Yearly,Unfurnished,For Rent,2024-04-05,16,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Marina Heights I, Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",160000,2,3,Apartment,1430,111.8881118881119,High,Yearly,Unfurnished,For Rent,2024-04-05,16,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Bloom Marina, Al Bateen, Abu Dhabi",110000,2,2,Apartment,1356,81.12094395280236,Medium,Yearly,Unfurnished,For Rent,2023-01-29,448,Al Bateen,Abu Dhabi,24.2048941,55.6196612
"Noya, Yas Island, Abu Dhabi",174000,3,4,Townhouse,1816,95.81497797356828,High,Yearly,Unfurnished,For Rent,2024-03-25,27,Yas Island,Abu Dhabi,24.4940223,54.6073721
"West Yas, Yas Island, Abu Dhabi",330000,5,7,Villa,5907,55.865921787709496,High,Yearly,Unfurnished,For Rent,2024-03-22,30,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Contemporary Style, Al Reef Villas, Al Reef, Abu Dhabi",149000,5,6,Villa,3750,39.73333333333333,High,Yearly,Unfurnished,For Rent,2024-04-02,19,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Fairmont Marina Residences, The Marina, Abu Dhabi",150000,1,2,Apartment,1022,146.7710371819961,High,Yearly,Furnished,For Rent,2024-03-18,34,The Marina,Abu Dhabi,24.479853,54.319951
"Building 45, Al Reef Downtown, Al Reef, Abu Dhabi",80000,2,2,Apartment,1477,54.16384563303995,Medium,Yearly,Unfurnished,For Rent,2024-03-14,38,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Marina Heights I, Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",125000,3,4,Apartment,1744,71.6743119266055,Medium,Yearly,Unfurnished,For Rent,2023-12-01,142,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Contemporary Style, Al Reef Villas, Al Reef, Abu Dhabi",129995,4,5,Villa,2828,45.96711456859972,Medium,Yearly,Unfurnished,For Rent,2024-03-11,41,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Building 26, Al Reef Downtown, Al Reef, Abu Dhabi",62900,2,2,Apartment,1237,50.84882780921585,Low,Yearly,Unfurnished,For Rent,2024-04-02,19,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Noya, Yas Island, Abu Dhabi",145000,2,4,Townhouse,1821,79.62657880285558,High,Yearly,Unfurnished,For Rent,2024-02-27,54,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Al Heel Tower, Al Khalidiyah, Abu Dhabi",95000,3,3,Apartment,1689,56.24629958555358,Medium,Yearly,Unfurnished,For Rent,2023-01-29,448,Al Khalidiyah,Abu Dhabi,24.46934445,54.34880593499775
"Bloom Central Residential, Bloom Central, Al Tibbiya, Abu Dhabi",140000,3,3,Apartment,2195,63.78132118451025,Medium,Yearly,Unfurnished,For Rent,2024-03-06,46,Al Tibbiya,Abu Dhabi,,
"Water's Edge, Yas Island, Abu Dhabi",50000,0,1,Apartment,490,102.04081632653062,Low,Yearly,Unfurnished,For Rent,2024-03-29,23,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Noya, Yas Island, Abu Dhabi",180000,3,4,Townhouse,1816,99.11894273127751,High,Yearly,Unfurnished,For Rent,2024-02-28,53,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Al Maha Tower, Marina Square, Al Reem Island, Abu Dhabi",60000,1,2,Apartment,861,69.68641114982579,Low,Yearly,Unfurnished,For Rent,2024-03-30,22,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Al Waha Tower, Al Khalidiyah, Abu Dhabi",85000,3,3,Apartment,1819,46.728971962616825,Medium,Yearly,Unfurnished,For Rent,2023-01-29,448,Al Khalidiyah,Abu Dhabi,24.46934445,54.34880593499775
"Al Heel Tower, Al Khalidiyah, Abu Dhabi",75000,2,2,Apartment,1228,61.074918566775246,Medium,Yearly,Unfurnished,For Rent,2023-01-29,448,Al Khalidiyah,Abu Dhabi,24.46934445,54.34880593499775
"Noya, Yas Island, Abu Dhabi",150000,2,4,Townhouse,1335,112.35955056179776,High,Yearly,Unfurnished,For Rent,2024-02-15,66,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Al Reef Downtown, Al Reef, Abu Dhabi",47999,1,2,Apartment,850,56.46941176470588,Low,Yearly,Unfurnished,For Rent,2024-02-13,68,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Noya, Yas Island, Abu Dhabi",170000,3,4,Townhouse,1816,93.61233480176212,High,Yearly,Unfurnished,For Rent,2024-04-06,15,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Sun Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",104999,2,2,Apartment,1240,84.6766129032258,Medium,Yearly,Unfurnished,For Rent,2024-01-15,97,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Ocean Terrace Residence, Marina Square, Al Reem Island, Abu Dhabi",109900,2,3,Apartment,1507,72.92634372926344,Medium,Yearly,Unfurnished,For Rent,2024-03-21,31,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Bloom Marina, Al Bateen, Abu Dhabi",105000,2,3,Apartment,1260,83.33333333333333,Medium,Yearly,Unfurnished,For Rent,2023-01-29,448,Al Bateen,Abu Dhabi,24.2048941,55.6196612
"The Cedars, Yas Acres, Yas Island, Abu Dhabi",260000,3,4,Townhouse,3390,76.69616519174042,High,Yearly,Unfurnished,For Rent,2024-02-06,75,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Building 20, Al Reef Downtown, Al Reef, Abu Dhabi",65999,2,2,Apartment,1237,53.35408245755861,Medium,Yearly,Unfurnished,For Rent,2023-12-18,125,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Noya, Yas Island, Abu Dhabi",175000,3,4,Townhouse,1753,99.82886480319452,High,Yearly,Unfurnished,For Rent,2024-02-04,77,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Al Tharwaniyah Community, Al Raha Gardens, Abu Dhabi",235000,5,8,Villa,6217,37.79958179186102,High,Yearly,Unfurnished,For Rent,2023-12-05,138,Al Raha Gardens,Abu Dhabi,24.42772055,54.55168867992076
"Zone 36, Mohammed Bin Zayed City, Abu Dhabi",43999,1,1,Apartment,1200,36.66583333333333,Low,Yearly,Unfurnished,For Rent,2023-12-01,142,Mohammed Bin Zayed City,Abu Dhabi,24.3339589,54.5535564
"Desert Style, Al Reef Villas, Al Reef, Abu Dhabi",75000,2,3,Villa,1210,61.98347107438016,Medium,Yearly,Unfurnished,For Rent,2023-11-23,150,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Pixel, Makers District, Al Reem Island, Abu Dhabi",180000,3,4,Apartment,1567,114.8691767708998,High,Yearly,Unfurnished,For Rent,2024-01-11,101,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Mediterranean Style, Al Reef Villas, Al Reef, Abu Dhabi",78000,2,3,Villa,1832,42.5764192139738,Medium,Yearly,Unfurnished,For Rent,2023-11-21,152,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Zone 12, Mohammed Bin Zayed City, Abu Dhabi",140000,4,4,Villa,3716,37.67491926803014,Medium,Yearly,Unfurnished,For Rent,2023-11-07,166,Mohammed Bin Zayed City,Abu Dhabi,24.3339589,54.5535564
"MSH16, Shakhbout City, Abu Dhabi",135000,5,5,Villa,15480,8.720930232558139,Medium,Yearly,Unfurnished,For Rent,2023-11-07,166,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
"Al Reef Villas, Al Reef, Abu Dhabi",100000,3,4,Villa,2424,41.254125412541256,Medium,Yearly,Unfurnished,For Rent,2023-10-23,181,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Madinat Al Riyadh, Abu Dhabi",17999,0,1,Apartment,650,27.69076923076923,Low,Yearly,Unfurnished,For Rent,2023-10-31,173,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Bloom Central Residential, Bloom Central, Al Tibbiya, Abu Dhabi",115000,2,2,Apartment,1646,69.86634264884569,Medium,Yearly,Unfurnished,For Rent,2023-02-13,433,Al Tibbiya,Abu Dhabi,,
"Fairmont Marina Residences, The Marina, Abu Dhabi",250000,2,2,Apartment,1783,140.21312394840157,High,Yearly,Furnished,For Rent,2023-12-07,136,The Marina,Abu Dhabi,24.479853,54.319951
"Noya, Yas Island, Abu Dhabi",175000,3,4,Townhouse,1851,94.54349000540248,High,Yearly,Unfurnished,For Rent,2024-03-17,35,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Arabian Style, Al Reef Villas, Al Reef, Abu Dhabi",109998,3,4,Villa,2424,45.37871287128713,Medium,Yearly,Unfurnished,For Rent,2024-01-29,83,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Desert Style, Al Reef Villas, Al Reef, Abu Dhabi",130000,3,4,Villa,1874,69.37033084311634,Medium,Yearly,Unfurnished,For Rent,2024-03-04,48,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Noya, Yas Island, Abu Dhabi",144998,2,3,Townhouse,1816,79.84471365638767,High,Yearly,Unfurnished,For Rent,2024-02-07,74,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Desert Style, Al Reef Villas, Al Reef, Abu Dhabi",105000,3,4,Villa,2424,43.31683168316832,Medium,Yearly,Unfurnished,For Rent,2024-01-16,96,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Madinat Al Riyadh, Abu Dhabi",38000,1,1,Apartment,950,40.0,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",25000,0,1,Apartment,566,44.169611307420496,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",37000,1,2,Apartment,1049,35.27168732125834,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",27000,1,1,Apartment,988,27.327935222672064,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"The Wave, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",85000,2,3,Apartment,1350,62.96296296296296,Medium,Yearly,Unfurnished,For Rent,2024-04-07,14,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Corniche Area, Abu Dhabi",100000,3,4,Apartment,2000,50.0,Medium,Yearly,Unfurnished,For Rent,2024-02-23,58,Corniche Area,Abu Dhabi,24.484107,54.35067
"Noya, Yas Island, Abu Dhabi",240000,4,5,Villa,2250,106.66666666666669,High,Yearly,Unfurnished,For Rent,2024-02-03,78,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Madinat Al Riyadh, Abu Dhabi",18000,0,1,Apartment,700,25.714285714285715,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",16000,0,1,Apartment,699,22.889842632331906,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",35000,1,1,Apartment,1020,34.31372549019608,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Sigma Tower 2, Sigma Towers, City of Lights, Al Reem Island, Abu Dhabi",80000,2,3,Apartment,1275,62.74509803921568,Medium,Yearly,Unfurnished,For Rent,2024-04-07,14,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Al Muroor, Abu Dhabi",155000,5,5,Villa,5500,28.181818181818183,High,Yearly,Unfurnished,For Rent,2024-04-08,13,Al Muroor,Abu Dhabi,24.476252,54.3726749
"Madinat Al Riyadh, Abu Dhabi",22000,0,1,Apartment,699,31.473533619456365,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",31000,1,1,Apartment,988,31.37651821862348,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",27000,1,1,Apartment,900,30.0,Low,Yearly,Unfurnished,For Rent,2024-04-08,13,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",12000,0,1,Apartment,650,18.46153846153846,Low,Yearly,Unfurnished,For Rent,2024-04-09,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Madinat Al Riyadh, Abu Dhabi",24000,0,1,Apartment,800,30.0,Low,Yearly,Unfurnished,For Rent,2024-04-08,13,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Shakhbout City, Abu Dhabi",31000,0,1,Apartment,899,34.48275862068966,Low,Yearly,Furnished,For Rent,2024-04-07,14,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
"Madinat Al Riyadh, Abu Dhabi",23000,0,1,Apartment,700,32.857142857142854,Low,Yearly,Unfurnished,For Rent,2024-04-08,13,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",85000,2,3,Apartment,1170,72.64957264957265,Medium,Yearly,Furnished,For Rent,2024-04-06,15,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Marina Bay, City of Lights, Al Reem Island, Abu Dhabi",55000,1,2,Apartment,805,68.32298136645963,Low,Yearly,Unfurnished,For Rent,2024-04-07,14,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Al Mariah Community, Al Raha Gardens, Abu Dhabi",220000,5,6,Villa,6110,36.00654664484452,High,Yearly,Unfurnished,For Rent,2024-04-05,16,Al Raha Gardens,Abu Dhabi,24.42772055,54.55168867992076
"Rihan Heights Tower A, Rihan Heights Towers, Zayed Sports City, Abu Dhabi",118000,2,3,Apartment,1450,81.37931034482759,Medium,Yearly,Unfurnished,For Rent,2024-04-07,14,Zayed Sports City,Abu Dhabi,24.4177935,54.447876
"Khalifa City, Abu Dhabi",28000,0,1,Apartment,600,46.66666666666666,Low,Yearly,Unfurnished,For Rent,2023-03-24,394,Khalifa City,Abu Dhabi,24.4201314,54.57495352587594
"Hamdan Street, Abu Dhabi",50000,1,1,Apartment,1020,49.01960784313726,Low,Yearly,Unfurnished,For Rent,2024-04-06,15,Hamdan Street,Abu Dhabi,24.2425603,55.7121184
"Al Bahia, Abu Dhabi",240000,6,7,Villa,6500,36.92307692307692,High,Yearly,Unfurnished,For Rent,2024-04-06,15,Al Bahia,Abu Dhabi,24.5140484,54.66308214538901
"Khalifa City, Abu Dhabi",159999,6,9,Villa,8001,19.99737532808399,High,Yearly,Unfurnished,For Rent,2024-04-07,14,Khalifa City,Abu Dhabi,24.4201314,54.57495352587594
"Rihan Heights Tower A, Rihan Heights Towers, Zayed Sports City, Abu Dhabi",139000,3,3,Apartment,2100,66.19047619047619,Medium,Yearly,Unfurnished,For Rent,2024-04-07,14,Zayed Sports City,Abu Dhabi,24.4177935,54.447876
"Oasis Residences One, Oasis Residences, Masdar City, Abu Dhabi",45000,0,1,Apartment,410,109.7560975609756,Low,Yearly,Unfurnished,For Rent,2024-04-05,16,Masdar City,Abu Dhabi,24.42748265,54.6234876171374
"Shakhbout City, Abu Dhabi",160000,5,7,Villa,8200,19.51219512195122,High,Yearly,Unfurnished,For Rent,2024-04-07,14,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
"Marina Bay, City of Lights, Al Reem Island, Abu Dhabi",78000,2,3,Apartment,1140,68.42105263157895,Medium,Yearly,Unfurnished,For Rent,2024-04-07,14,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
"Water's Edge, Yas Island, Abu Dhabi",90000,2,2,Apartment,1172,76.79180887372014,Medium,Yearly,Unfurnished,For Rent,2024-04-04,17,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Al Najda Street, Abu Dhabi",70000,3,3,Apartment,1760,39.77272727272727,Medium,Yearly,Unfurnished,For Rent,2024-04-06,15,Al Najda Street,Abu Dhabi,24.4913003,54.3695437
"Madinat Al Riyadh, Abu Dhabi",150000,6,10,Villa,8000,18.75,High,Yearly,Unfurnished,For Rent,2024-04-05,16,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
"Water's Edge, Yas Island, Abu Dhabi",74999,1,1,Apartment,698,107.4484240687679,Medium,Yearly,Unfurnished,For Rent,2024-04-04,17,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Building 15, Al Reef Downtown, Al Reef, Abu Dhabi",65000,2,2,Apartment,1237,52.54648342764754,Low,Yearly,Unfurnished,For Rent,2024-04-06,15,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
"Water's Edge, Yas Island, Abu Dhabi",60000,1,2,Apartment,1075,55.81395348837209,Low,Yearly,Unfurnished,For Rent,2024-04-04,17,Yas Island,Abu Dhabi,24.4940223,54.6073721
"Al Marasy, Al Bateen, Abu Dhabi",140000,2,3,Apartment,1480,94.5945945945946,Medium,Yearly,Unfurnished,For Rent,2024-04-03,18,Al Bateen,Abu Dhabi,24.45138385,54.33796581892305
"Muroor Road, Al Muroor, Abu Dhabi",250000,6,8,Villa,6405,39.032006245121,High,Yearly,Unfurnished,For Rent,2024-04-06,15,Al Muroor,Abu Dhabi,24.476252,54.3726749
"Tourist Club Area (TCA), Abu Dhabi",66000,2,2,Apartment,1237,53.35489086499596,Medium,Yearly,Unfurnished,For Rent,2024-04-05,16,Tourist Club Area (TCA),Abu Dhabi,24.495946,54.381815
"Al Naseem Residence C, Al Naseem, Al Bandar, Al Raha Beach, Abu Dhabi",250000,3,4,Apartment,2335,107.06638115631692,High,Yearly,Unfurnished,For Rent,2024-04-05,16,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
"Ministries Complex, Al Matar, Abu Dhabi",59900,1,1,Apartment,920,65.1086956521739,Low,Yearly,Unfurnished,For Rent,2024-03-23,29,Al Matar,Abu Dhabi,24.4352701,54.4406788
"Al Shamkha, Abu Dhabi",95000,4,4,Apartment,2300,41.30434782608695,Medium,Yearly,Unfurnished,For Rent,2024-04-06,15,Al Shamkha,Abu Dhabi,24.3866584,54.7074507
"Al Raha Beach, Abu Dhabi",200000,3,5,Apartment,3192,62.65664160401003,High,Yearly,Unfurnished,For Rent,2024-04-05,16,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
"Al Bateen, Abu Dhabi",190000,6,7,Villa,6200,30.64516129032258,High,Yearly,Unfurnished,For Rent,2024-04-03,18,Al Bateen,Abu Dhabi,24.45138385,54.33796581892305
